✅ Backend database initialized
 * Serving Flask app 'server'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://10.11.7.165:5000
Press CTRL+C to quit
127.0.0.1 - - [15/Apr/2026 07:51:32] "GET /api/laporan/10/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:32] "GET /api/laporan/10/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:33] "DELETE /api/laporan/10 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:33] "GET /api/laporan?page=6 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:33] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:33] "GET /api/laporan/11/preview HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:33] "GET /api/laporan/11/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:33] "GET /api/laporan/11/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:34] "DELETE /api/laporan/11 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:34] "GET /api/laporan?page=6 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:35] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:35] "GET /api/laporan/13/preview HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:35] "GET /api/laporan/13/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:35] "GET /api/laporan/13/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:36] "DELETE /api/laporan/13 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:36] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:36] "GET /api/laporan?page=6 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:37] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:37] "GET /api/laporan?page=5 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:39] "GET /api/laporan/14/preview HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:39] "GET /api/laporan/14/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:40] "GET /api/laporan/14/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:40] "DELETE /api/laporan/14 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:41] "GET /api/laporan?page=5 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:41] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:41] "GET /api/laporan/15/preview HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:41] "GET /api/laporan/15/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:41] "GET /api/laporan/15/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:42] "DELETE /api/laporan/15 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:42] "GET /api/laporan?page=5 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:42] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:43] "GET /api/laporan/16/preview HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:43] "GET /api/laporan/16/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:43] "GET /api/laporan/16/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:44] "DELETE /api/laporan/16 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:44] "GET /api/laporan?page=5 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:44] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:45] "GET /api/laporan/17/preview HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:45] "GET /api/laporan/17/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:45] "GET /api/laporan/17/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:46] "DELETE /api/laporan/17 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:46] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:46] "GET /api/laporan?page=5 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:46] "GET /api/laporan/18/preview HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:46] "GET /api/laporan/18/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:46] "GET /api/laporan/18/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:47] "DELETE /api/laporan/18 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:47] "GET /api/laporan?page=5 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:47] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:48] "GET /api/laporan?page=4 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:48] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:50] "GET /api/laporan/19/preview HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:50] "GET /api/laporan/19/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:50] "GET /api/laporan/19/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:51] "DELETE /api/laporan/19 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:52] "GET /api/laporan?page=4 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:52] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:52] "GET /api/laporan/20/preview HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:52] "GET /api/laporan/20/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:52] "GET /api/laporan/20/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:53] "DELETE /api/laporan/20 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:53] "GET /api/laporan?page=4 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:53] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:54] "GET /api/laporan/21/preview HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:54] "GET /api/laporan/21/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:54] "GET /api/laporan/21/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:55] "DELETE /api/laporan/21 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:55] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:55] "GET /api/laporan?page=4 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:56] "GET /api/laporan/22/preview HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:56] "GET /api/laporan/22/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:56] "GET /api/laporan/22/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:57] "DELETE /api/laporan/22 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:57] "GET /api/laporan?page=4 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:57] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:57] "GET /api/laporan/23/preview HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:57] "GET /api/laporan/23/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:57] "GET /api/laporan/23/gallery HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:58] "DELETE /api/laporan/23 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:58] "GET /api/laporan?page=4 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:58] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:59] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:59] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 07:51:59] "GET /api/laporan?page=3 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 08:00:02] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 08:02:15] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 08:02:17] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 08:02:17] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 08:02:49] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 08:02:50] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 08:02:50] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 08:02:55] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 08:02:55] "GET /api/laporan?page=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 08:02:55] "GET /api/laporan?page=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 08:02:55] "GET /api/stats HTTP/1.1" 200 -
